date,district,crop,era5_sm_m3m3,downscaled_sm_m3m3,downscaled_sm_mm,VV,VH,delta_VV,NDVI,NDWI,EVI,TWI,slope
2016-10-04,Shamli,Rice,0.2299067179361979,0.18416009929894003,55.24802978968201,-7.41285622097233,-13.086190782974102,-0.7397351002303214,0.0803295780988254,-0.1451059624604685,0.2504649219486477,7.152134071974343,1.8458991781032863
2016-10-05,Shamli,Rice,0.2574386596679687,0.18416009929894003,55.24802978968201,-7.41285622097233,-13.086190782974102,-0.7397351002303214,0.0803295780988254,-0.1451059624604685,0.2504649219486477,7.152134071974343,1.8458991781032863
2016-10-06,Shamli,Rice,0.2440630594889322,0.18416009929894003,55.24802978968201,-7.41285622097233,-13.086190782974102,-0.7397351002303214,0.0803295780988254,-0.1451059624604685,0.2504649219486477,7.152134071974343,1.8458991781032863
2016-10-07,Shamli,Rice,0.2271245320638021,0.18416009929894003,55.24802978968201,-7.41285622097233,-13.086190782974102,-0.7397351002303214,0.0803295780988254,-0.1451059624604685,0.2504649219486477,7.152134071974343,1.8458991781032863
2016-10-08,Shamli,Rice,0.2108853658040364,0.18416009929894003,55.24802978968201,-7.41285622097233,-13.086190782974102,-0.7397351002303214,0.0803295780988254,-0.1451059624604685,0.2504649219486477,7.152134071974343,1.8458991781032863
2016-10-09,Shamli,Rice,0.1976731618245442,0.18416009929894003,55.24802978968201,-7.41285622097233,-13.086190782974102,-0.7397351002303214,0.0803295780988254,-0.1451059624604685,0.2504649219486477,7.152134071974343,1.8458991781032863
2016-10-10,Shamli,Rice,0.1864096323649088,0.18416009929894003,55.24802978968201,-7.41285622097233,-13.086190782974102,-0.7397351002303214,0.0803295780988254,-0.1451059624604685,0.2504649219486477,7.152134071974343,1.8458991781032863
2016-10-16,Shamli,Rice,0.1503105163574218,0.17240946886603317,51.722840659809954,-7.143803045529208,-12.865591300696702,-0.4706819247871996,0.0803295780988254,-0.1451059624604685,0.2504649219486477,7.152134071974343,1.8458991781032863
2016-10-17,Shamli,Rice,0.1480007171630859,0.17240946886603317,51.722840659809954,-7.143803045529208,-12.865591300696702,-0.4706819247871996,0.0803295780988254,-0.1451059624604685,0.2504649219486477,7.152134071974343,1.8458991781032863
2016-10-18,Shamli,Rice,0.1460901896158854,0.17240946886603317,51.722840659809954,-7.143803045529208,-12.865591300696702,-0.4706819247871996,0.0803295780988254,-0.1451059624604685,0.2504649219486477,7.152134071974343,1.8458991781032863
2016-10-19,Shamli,Rice,0.1447111765543619,0.17240946886603317,51.722840659809954,-7.143803045529208,-12.865591300696702,-0.4706819247871996,0.0803295780988254,-0.1451059624604685,0.2504649219486477,7.152134071974343,1.8458991781032863
2016-10-20,Shamli,Rice,0.1434637705485026,0.17240946886603317,51.722840659809954,-7.143803045529208,-12.865591300696702,-0.4706819247871996,0.0803295780988254,-0.1451059624604685,0.2504649219486477,7.152134071974343,1.8458991781032863
2016-10-21,Shamli,Rice,0.1423918406168619,0.17240946886603317,51.722840659809954,-7.143803045529208,-12.865591300696702,-0.4706819247871996,0.0803295780988254,-0.1451059624604685,0.2504649219486477,7.152134071974343,1.8458991781032863
