date,district,crop,era5_sm_m3m3,downscaled_sm_m3m3,downscaled_sm_mm,VV,VH,delta_VV,NDVI,NDWI,EVI,TWI,slope
2016-03-02,Ghaziabad,Wheat,0.1538270314534505,0.1757238542370985,158.15146881338865,-6.7247399469778015,-12.286049375504344,0.0560924532514297,0.0839733874659265,-0.1709586098566416,0.2431376415562071,7.44932280034528,1.0
2016-03-03,Ghaziabad,Wheat,0.151376724243164,0.1757238542370985,158.15146881338865,-6.7247399469778015,-12.286049375504344,0.0560924532514297,0.0839733874659265,-0.1709586098566416,0.2431376415562071,7.44932280034528,1.0
2016-10-01,Ghaziabad,Rice,0.1882921854654947,0.18000452290099747,54.00135687029924,-7.525110675386693,-13.268513954767348,-0.7442782751574617,0.0902454191875304,-0.171445806986887,0.222553750429845,7.44932280034528,1.0
2016-10-02,Ghaziabad,Rice,0.1899757385253906,0.18000452290099747,54.00135687029924,-7.525110675386693,-13.268513954767348,-0.7442782751574617,0.0902454191875304,-0.171445806986887,0.222553750429845,7.44932280034528,1.0
2016-10-03,Ghaziabad,Rice,0.2179266611735026,0.18000452290099747,54.00135687029924,-7.525110675386693,-13.268513954767348,-0.7442782751574617,0.0902454191875304,-0.171445806986887,0.222553750429845,7.44932280034528,1.0
2016-10-04,Ghaziabad,Rice,0.2322909037272135,0.19480772970225987,58.44231891067796,-7.104938152959376,-12.384169253693337,-0.3241057527301443,0.0902454191875304,-0.171445806986887,0.222553750429845,7.44932280034528,1.0
2016-10-05,Ghaziabad,Rice,0.2947184244791667,0.19480772970225987,58.44231891067796,-7.104938152959376,-12.384169253693337,-0.3241057527301443,0.0902454191875304,-0.171445806986887,0.222553750429845,7.44932280034528,1.0
2016-10-06,Ghaziabad,Rice,0.2719573974609375,0.19480772970225987,58.44231891067796,-7.104938152959376,-12.384169253693337,-0.3241057527301443,0.0902454191875304,-0.171445806986887,0.222553750429845,7.44932280034528,1.0
2016-10-07,Ghaziabad,Rice,0.2520383199055989,0.19480772970225987,58.44231891067796,-7.104938152959376,-12.384169253693337,-0.3241057527301443,0.0902454191875304,-0.171445806986887,0.222553750429845,7.44932280034528,1.0
2016-10-08,Ghaziabad,Rice,0.2339394887288411,0.19480772970225987,58.44231891067796,-7.104938152959376,-12.384169253693337,-0.3241057527301443,0.0902454191875304,-0.171445806986887,0.222553750429845,7.44932280034528,1.0
